diff_infos,new_price,old_price,nr_of_reviews,rating,availability
"Laptop Lenovo V130-15IKB cu procesor Intel® Core™ i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", 4GB, 500GB, Intel® HD Graphics 620, Free DOS, Iron Grey",1.69999 Lei,"2.29999 Lei(-26%)
                ",1 review,width: 100%,în stoc
"Laptop Apple MacBook Air 13 cu procesor Intel® Dual Core™ i5 1.80GHz, 13.3"", 8GB, 128GB SSD, Intel® HD Graphics 6000, INT KB, Silver",4.19999 Lei,"5.79999 Lei(-27%)
                ",64 de review-uri,width: 87.6%,în stoc
"Laptop ASUS X509FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2.19999 Lei,"2.99999 Lei(-26%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS Vivobook X512DK cu procesor AMD® Ryzen™ 5 3500U pana la 3.70 GHz, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon™ R540X 2GB, Free DOS, Slate Gray",2.44999 Lei,"2.99999 Lei(-18%)
                ",4 review-uri,width: 95%,ultimul produs in stoc
"Laptop HP 15-da0040nq cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake, 15.6"", Full HD, 8GB, 1TB, DVD-RW, NVIDIA® GeForce® MX130 4GB, Free DOS, Black",2.29999 Lei,"3.49999 Lei(-34%)
                ",22 de review-uri,width: 82.8%,în stoc
"Laptop ASUS X540MA-GO207 cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, Intel® UHD Graphics 600, Endless OS, Chocolate Black",89999 Lei,"1.29999 Lei(-30%)
                ",3 review-uri,width: 66.6%,în stoc
"Laptop ASUS X512DK cu procesor AMD® Ryzen 5 3500U pana la 3.70 GHz, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon™ R540X 2GB, Free DOS, Coral Crush",2.39999 Lei,"2.99999 Lei(-20%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming OMEN by HP 15-dc0014nq cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA® GeForce® GTX 1050 Ti 4GB, Free DOS, Black",4.09999 Lei,"5.69999 Lei(-28%)
                ",8 review-uri,width: 90%,în stoc
"Laptop HP 15-da0042nq cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz Kaby Lake R, 15.6"", Full HD, 4GB, 1TB HDD, DVD-RW, Intel® UHD Graphics, Free DOS, Sparkling Black",1.84999 Lei,"2.39999 Lei(-22%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X540MA cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, DVD-RW, Intel® UHD Graphics 600, Endless OS, Chocolate Black",1.04999 Lei,"1.39999 Lei(-25%)
                ",15 review-uri,width: 82.6%,în stoc
"Laptop ASUS X512FA cu procesor Intel® Core™ i7-8565U pana la 4.6 GHz, 15.6"", Full HD, 8GB, 1TB HDD, Intel UHD Graphics 620, Free DOS, Slate Gray",2.49999 Lei,"3.59999 Lei(-30%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X540MA-GO550T cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, Intel UHD Graphics 600, Microsoft Windows 10, Chocolate Black",1.39999 Lei,"1.69999 Lei(-17%)
                ",6 review-uri,width: 86.6%,în stoc
"Laptop ASUS X509FB cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB, NVIDIA GeForce MX110 2GB, Endless OS, Slate Gray",2.89999 Lei,"3.39999 Lei(-14%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS VivoBook 15 X512UA cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2.59999 Lei,"2.94999 Lei(-11%)
                ",1 review,width: 60%,în stoc
"Laptop gaming ASUS ROG Strix G531GT cu procesor Intel® Core™ i5-9300H pana la 4.0 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 8GB, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",3.99999 Lei,"5.19999 Lei(-23%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X512FA cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Coral Crush",2.54999 Lei,"2.99999 Lei(-15%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel Core i5-8265U pana la 3.9 Ghz, 15.6"", HD, 4GB, 128GB SSD M.2, Intel UHD Graphics 620, Free DOS, Grey",1.74999 Lei,"2.19999 Lei(-20%)
                ",3 review-uri,width: 93.4%,în stoc
"Laptop Gaming ASUS Rog Strix GL503GE cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, 15.6”, Full HD, 8GB, 256GB SSD M.2 + 1TB HDD, GeForce GTX 1050Ti 4GB, Free DOS, Gunmetal",3.49999 Lei,"5.49999 Lei(-36%)
                ",3 review-uri,width: 40%,în stoc
"Laptop Gaming HP Pavilion 15-cx0008nq cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA® GeForce® GTX 1050 Ti 4GB, Free DOS, Black",3.49999 Lei,"4.89999 Lei(-28%)
                ",17 review-uri,width: 77.6%,în stoc
"Laptop Gaming Asus ROG Strix G531GU cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 8GB, 256Gb SSD M.2, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",5.09999 Lei,"5.99999 Lei(-15%)
                ",2 review-uri,width: 90%,în stoc
"Laptop Dell Inspiron 3582 cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, DVD-RW, Intel® UHD Graphics 600, Linux, Black",94999 Lei,"1.29999 Lei(-26%)
                ",1 review,width: 100%,în stoc
"Laptop Dell Inspiron 3584 cu procesor Intel Core i3-7020U 2.3 GHz, 15.6"", Full HD, 4GB, 1TB HDD, Intel HD Graphics 620, Ubuntu, Black",1.49999 Lei,"1.69999 Lei(-11%)
                ",5 review-uri,width: 96%,ultimul produs in stoc
"Laptop gaming ASUS TUF FX505DY cu procesor AMD Ryzen 5 3550H pana la 3.70 GHz, 15.6"", Full HD, 16GB, 1TB HDD, AMD RADEON RX560X 4GB, Free DOS, Red Matter",3.09999 Lei,"3.79999 Lei(-18%)
                ",1 review,width: 100%,în stoc
"Laptop Gaming ASUS TUF FX505DT cu procesor AMD Ryzen 7-3750H pana la 4.0GHz, 15.6"", Full HD, 120Hz, 8GB, 1TB HDD, 256GB SSD M.2, NVIDIA® GeForce GTX 1650 4GB GDDR5, Free DOS, Black",4.59998 Lei,,5 review-uri,width: 96%,în stoc
"Laptop Gaming Lenovo Legion Y7000 cu procesor Intel® Core i5-9300H pana la 4.10 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD M.2, NVIDIA GeForce GTX 1650 4GB GDDR5, Free DOS, Black",3.49999 Lei,"3.89999 Lei(-10%)
                ",6 review-uri,width: 83.4%,în stoc
"Laptop Lenovo V130-15IKB, cu procesor Intel® Celeron 3867U 1.80 GHz, Dual Core, 15.6"", HD, 4GB, 500GB HDD, Intel HD Graphics 610, Free DOS, Iron Grey",89999 Lei,"99999 Lei(-10%)
                ",2 review-uri,width: 60%,în stoc
"Laptop ASUS A509FA cu procesor Intel® Core™ i3-8145U pana la 3.9 GHz, 15.6"", Full HD, 4GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Slate Gray",1.68999 Lei,"2.04999 Lei(-17%)
                ",2 review-uri,width: 80%,în stoc
"Laptop ASUS Vivobook X512DA cu procesor AMD Ryzen 5 3500U pana la 3.7 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Radeon™ Vega 8 Graphics, Free DOS, Slate Gray",2.39998 Lei,,4 review-uri,width: 100%,ultimul produs in stoc
"Laptop ASUS VivoBook 15 X540UA cu procesor Intel® Core™ i3-8130U pana la 3.40 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, DVD-RW, Intel® UHD Graphics 620, Endless OS, Chocolate Black",1.74999 Lei,"2.04999 Lei(-14%)
                ",5 review-uri,width: 92%,în stoc
"Laptop Gaming OMEN by HP 15-dc1004nq cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 16GB, 1TB + 128GB SSD, NVIDIA GeForce RTX 2060 6GB, Free DOS, Shadow Black",5.99999 Lei,"6.79999 Lei(-11%)
                ",4 review-uri,width: 100%,în stoc
"Laptop ASUS X509FB cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 4GB, 256GB SSD, NVIDIA GeForce MX110 2GB, Endless OS, Slate Gray",1.99999 Lei,"2.59999 Lei(-23%)
                ",4 review-uri,width: 100%,în stoc
"Laptop gaming ASUS ROG Strix G531GU cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 16GB, 512GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",5.59999 Lei,"6.99999 Lei(-20%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming ASUS TUF FX504GM cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, 120Hz, 8GB, 1TB SSHD, NVIDIA GeForce GTX 1060 6GB, Free DOS, Gun Metal",4.19999 Lei,"5.39999 Lei(-22%)
                ",5 review-uri,width: 52%,în stoc
"Laptop Lenovo IdeaPad 330-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, 4GB, 1TB, NVIDIA GeForce GTX 1050 4GB, Free DOS, Platinum Grey",2.49999 Lei,"3.19999 Lei(-21%)
                ",7 review-uri,width: 80%,în stoc
"Laptop Gaming ASUS ROG Strix G G531GT cu procesor Intel® Core™ i5-9300H pana la 4.10GHz, 15.6"", Full HD, 120Hz, Antiglare, 8GB, 512GB SSD M.2, NVIDIA® GeForce GTX 1650 4GB GDDR5, Free DOS, Black",4.19999 Lei,"4.99999 Lei(-16%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Apple MacBook Pro 13"" Touch Bar, procesor Intel® Core™ i5 1.4GHz, 8GB, 128GB SSD, Intel Iris Plus Graphics 645, Space Grey, INT KB",6.59999 Lei,"7.39999 Lei(-10%)
                ",2 review-uri,width: 100%,în stoc
"Laptop ASUS VivoBook S15 S530FN cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB Hybrid FireCuda, NVIDIA GeForce MX150 2GB, Endless OS, Gun Metal",3.99999 Lei,,8 review-uri,width: 92.6%,ultimul produs in stoc
"Laptop Gaming Lenovo Legion Y7000 cu procesor Intel® Core i7-9750H pana la 4.50 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD M.2, NVIDIA GeForce GTX 1650 4GB GDDR5, Free DOS, Black",3.99999 Lei,"4.49999 Lei(-11%)
                ",2 review-uri,width: 60%,în stoc
"Laptop Gaming HP Pavilion - 15-dk0004nq cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB + 128GB SSD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Shadow Black",4.29999 Lei,"5.19999 Lei(-17%)
                ",1 review,width: 60%,în stoc
"Laptop ASUS X509FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Windows 10, SLATE GRAY",2.59999 Lei,"3.19999 Lei(-18%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X509FB cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB, NVIDIA GeForce MX110 2GB, Endless OS, Slate Gray",2.39999 Lei,"2.84999 Lei(-15%)
                ",1 review,width: 100%,în stoc
"Laptop Acer Aspire 5A515-54G-56U1 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA® GeForce® MX250 2GB, Endless OS, Black",2.39999 Lei,"3.09999 Lei(-22%)
                ",2 review-uri,width: 90%,în stoc
"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Space Grey, INT KB",5.49999 Lei,"6.19999 Lei(-11%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X509FA cu procesor Intel® Core™ i5-8265U pana la 3.9GHz, 15.6"", Full HD, 4GB, 1TB HDD, Intel UHD Graphics 620, Free DOS, Slate Gray",2.29999 Lei,"2.79999 Lei(-17%)
                ",3 review-uri,width: 100%,ultimul produs in stoc
"Laptop Gaming Lenovo Legion Y530-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 512GB SSD, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",3.99999 Lei,"4.69999 Lei(-14%)
                ",2 review-uri,width: 100%,în stoc
"Laptop HP 250 G7 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, DVD-RW, NVIDIA® GeForce® MX110 2GB, Free DOS, Silver",2.24999 Lei,"2.99999 Lei(-25%)
                ",2 review-uri,width: 100%,în stoc
"Laptop Lenovo IdeaPad S145-15IWL cu procesor Intel® Core® i5-8265U 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA® GeForce® MX110 2GB, Free DOS, Grey",2.24999 Lei,"2.49999 Lei(-10%)
                ",5 review-uri,width: 100%,în stoc
"Laptop Gaming Lenovo Legion Y530-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA GeForce GTX 1050 TI 4GB, Free DOS, Black",3.39999 Lei,"4.39999 Lei(-22%)
                ",15 review-uri,width: 89.4%,ultimul produs in stoc
"Laptop ASUS X509FL cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA GeForce MX250 2GB, Free DOS, Slate Gray",2.59999 Lei,"2.99999 Lei(-13%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS VivoBook 15 A505ZA-EJ665 cu procesor AMD Ryzen™ 3 2200U pana la 3.40 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Radeon™ Vega 3 Graphics, Endless OS, Dark Grey",1.29999 Lei,"1.94999 Lei(-33%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming Lenovo Legion Y540-15IRH cu procesor Intel® Core i5-9300H pana la 4.10 GHz, 15.6"", Full HD, IPS, 8GB, 512GB SSD M.2, NVIDIA GeForce GTX 1660 Ti 6GB GDDR6, Free DOS, Black",4.39999 Lei,"4.99999 Lei(-12%)
                ",4 review-uri,width: 95%,în stoc
"Laptop Gaming ASUS ROG Strix G731GU cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz, Coffee Lake, 17.3"", Full HD, IPS, 144Hz, 3ms, 8GB, 512GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",5.89999 Lei,"6.99999 Lei(-15%)
                ",3 review-uri,width: 73.4%,în stoc
"Laptop Gaming OMEN by HP 15-dc0019nq cu procesor Intel® Core™ i7-8750H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 1TB, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",4.19999 Lei,"5.89999 Lei(-28%)
                ",5 review-uri,width: 84%,în stoc
"Laptop ASUS A505ZA cu procesor AMD Ryzen™ 5 2500U pana la 3.60 GHz, 15.6"", Full HD, 4GB, 1TB, Radeon™ Vega 8 Graphics, Endless OS, Dark Grey",1.59999 Lei,"2.04999 Lei(-22%)
                ",1 review,width: 80%,în stoc
"Laptop Asus X509FJ cu procesor Intel® Core™ i7-8565U pana la 4.6 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA GeForce MX230 2GB, Free DOS, Slate Gray",2.99999 Lei,"3.59999 Lei(-16%)
                ",1 review,width: 100%,în stoc
"Laptop ultraportabil Lenovo IdeaPad 330S-14IKB cu procesor Intel® Core™ i7-8550U pana la 4.00 GHz, Kaby Lake R, 14"", Full HD, IPS, 8GB, 512GB SSD, Intel® UHD Graphics 620, Free DOS, Mid Night Blue",3.09999 Lei,"3.49999 Lei(-11%)
                ",4 review-uri,width: 100%,în stoc
"Laptop ultraportabil Lenovo IdeaPad 530S-14IKB cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 14"". WQHD, IPS, 8GB, 512GB M.2 SSD, Intel® UHD Graphics 620, FPR, Free DOS, Copper",3.39999 Lei,"4.39999 Lei(-22%)
                ",20 de review-uri,width: 76%,în stoc
"Laptop Apple MacBook Pro 15 2019, ecran Retina, Touch Bar, procesor Intel® 8 Core™ 9th gen i9 2.4GHz, 32GB RAM, 1TB SSD, Radeon Pro Vega 20 4GB, macOS, US KB, Space Gray",21.95000 Lei,"24.99000 Lei(-12%)
                ",1 review,width: 100%,în stoc
"Laptop Gaming HP Pavilion - 15-dk0011nq cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB + 256GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Shadow Black",4.99999 Lei,"5.79999 Lei(-13%)
                ",1 review,width: 100%,ultimul produs in stoc
"Laptop Acer Aspire 3 A315-51-3805 cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, Intel HD Graphics 620, Linux, Black",1.49999 Lei,"2.09999 Lei(-28%)
                ",1 review,width: 100%,în stoc
"Laptop Dell Inspiron 3584 cu procesor Intel Core i3-7020U 2.3 GHz, 15.6”, Full HD, 4GB, 128GB SSD M.2, Intel HD Graphics 620, Ubuntu, Black",1.49999 Lei,"1.89999 Lei(-21%)
                ",1 review,width: 80%,în stoc
"Laptop Lenovo V130-15IKB cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, Intel® HD Graphics 620, Free DOS, Iron Grey",1.39999 Lei,"1.84999 Lei(-24%)
                ",8 review-uri,width: 80%,în stoc
"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Gold, INT KB",5.49999 Lei,"6.19999 Lei(-11%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Lenovo V130-15IKB cu procesor Intel® Core™ i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, Radeon 530 2GB, Free DOS, Iron Grey",1.94999 Lei,"2.49999 Lei(-22%)
                ",3 review-uri,width: 73.4%,în stoc
"Laptop Lenovo V130-15IKB cu procesor Intel® Core™ i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 500GB, Intel® HD Graphics 620, Free DOS, Iron Grey",1.69999 Lei,"2.29999 Lei(-26%)
                ",2 review-uri,width: 100%,în stoc
"Laptop Gaming ASUS TUF FX505DD-BQ271 cu procesor AMD Ryzen™ 5-3550H pana la 3.70 GHz, 15.6"", FullHD, IPS, 8GB, 1 TB Hybrid HDD FireCuda, nVIDIA GeForce GTX 1050 GDDR5 3GB, Anti glare, Carcasa metalica, Gold Steel",2.99000 Lei,"3.80800 Lei(-21%)
                ",0 review-uri,width: 0%,în stoc
"Laptop HP 250 G7 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, DVD-RW, Intel UHD Graphics 620, Windows 10 Pro, Dark Ash Silver",4.19999 Lei,,1 review,width: 100%,ultimul produs in stoc
"Laptop ultraportabil ASUS ZenBook 14 UX433FA cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 14"", Full HD, 8GB, 512GB SSD M.2, Intel UHD Graphics 620, Windows 10, Silver Metal",3.89999 Lei,"4.79999 Lei(-18%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Silver, INT KB",5.49999 Lei,"6.19999 Lei(-11%)
                ",0 review-uri,width: 0%,în stoc
"Laptop HP 15-da0048nq cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, 15.6”, Full HD, 8GB, 256GB SSD, GeForce MX110 2GB, Free Dos, Black",de la 2.84999 Lei,2.99999 Lei,18 review-uri,width: 93.4%,2 resigilate in stoc
"Laptop ASUS VivoBook X540UB cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, NVIDIA GeForce MX110 2GB, Endless OS, Chocolate Black",1.69999 Lei,"2.19999 Lei(-22%)
                ",4 review-uri,width: 95%,în stoc
"Laptop ASUS VivoBook 15 X512DA cu procesor AMD Ryzen™ 3 3200U pana la 3.40 GHz, 15.6"", Full HD, 4GB, 1TB, Radeon™ Vega Graphics, Free DOS, Slate Gray",1.69999 Lei,"2.09999 Lei(-19%)
                ",1 review,width: 100%,în stoc
"Laptop Lenovo V130-15IKB cu procesor Intel Core i5-8250U pana la 3.40 GHz, 15.6"", Full HD, 4GB, 500GB HDD, Intel HD Graphics 620, Free DOS, Iron Grey",1.79999 Lei,"2.44999 Lei(-26%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil ASUS ZenBook Flip UM462DA cu procesor AMD Ryzen 5 3500U pana la 3.7 GHz, 14"", Full HD, 8GB, 512GB SSD M.2, AMD Radeon™ Vega 8 Graphics, Windows 10, Light Grey",3.49999 Lei,"4.39999 Lei(-20%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil Lenovo Ideapad S340-14IWL cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, 14"", Full HD, IPS, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Sand Pink",2.09999 Lei,"2.39999 Lei(-12%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS A542UF cu procesor Intel® Core™ i7-8550U pana la 4.00 GHz, Kaby Lake R, 15.6"", Full HD, 6GB, 1TB, NVIDIA GeForce MX130 2GB, Endless OS, Matt Dark Grey",2.59999 Lei,"3.79999 Lei(-31%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming ASUS ROG New ZEPHYRUS GX501GI cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, 144Hz, 3ms G-Sync, 24GB, 512GB SSD, NVIDIA GeForce GTX 1080 8GB Max-Q, Microsoft Windows 10, Black",11.19999 Lei,"15.19999 Lei(-26%)
                ",2 review-uri,width: 90%,ultimul produs in stoc
"Laptop HP 15-db1012nq cu procesor AMD Ryzen™ 5 3500U pana la 3.70 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD, AMD Radeon™ Vega 8 Graphics, Free DOS, Black",2.09999 Lei,"2.49999 Lei(-16%)
                ",1 review,width: 60%,în stoc
"Laptop HP ProBook 450 G6 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 16GB, 256GB SSD, NVIDIA GeForce MX130 2GB, Free DOS, Silver",3.49999 Lei,"4.79999 Lei(-27%)
                ",1 review,width: 100%,în stoc
"Laptop ultraportabil ASUS VivoBook 14 X412FJ cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 14', Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX230 2GB, Free DOS, Slate Grey",3.44999 Lei,"3.69999 Lei(-6%)
                ",2 review-uri,width: 90%,ultimul produs in stoc
"Laptop Lenovo V130-15IKB, cu procesor Intel® Celeron 3867U 1.80 GHz, Dual Core, 15.6"", HD, 4GB, 1TB HDD, Intel HD Graphics 610, Free DOS, Iron Grey",89999 Lei,"1.04999 Lei(-14%)
                ",1 review,width: 40%,în stoc
"Laptop ASUS VivoBook X540UB cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, NVIDIA GeForce MX110 2GB, Microsoft Windows 10, Chocolate Black",1.99999 Lei,"2.69999 Lei(-25%)
                ",3 review-uri,width: 73.4%,în stoc
"Laptop ASUS X507UA cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 1TB, Intel UHD Graphics 620, Endless OS, Star Grey",2.19999 Lei,"2.89999 Lei(-24%)
                ",0 review-uri,width: 0%,în stoc
"Laptop HP 15-da0190nq cu procesor Intel® Core™ i3 7020U 2.30 GHz, Kaby Lake, 15.6"", 4GB, 1TB, Intel® HD Graphics 620, Microsoft Windows 10, Black",1.69999 Lei,"2.29999 Lei(-26%)
                ",2 review-uri,width: 20%,în stoc
"Laptop Acer Aspire 5 A515-54-5990 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Intel® UHD Graphics 620, Endless OS, Red",2.29999 Lei,"2.44999 Lei(-6%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming Lenovo Legion Y540-17IRH cu procesor Intel Core i5-9300H pana la 4.1GHz, 17.3"", Full HD, 16GB, 512GB SSD M.2, NVIDIA GeForce RTX 2060 6GB, Free DOS, Black",5.49999 Lei,"5.79999 Lei(-30000 Lei)
                ",0 review-uri,width: 0%,în stoc
"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel® Core i3-8145U pana la 3.90 GHz, 15.6"", Full HD, 4GB, 128GB SSD M.2, Intel UHD Graphics 620, Free DOS, Grey",1.54999 Lei,"1.89999 Lei(-18%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil ASUS VivoBook 14 X412FA cu procesor Intel® Core™ i5-8265U pana la 3.9GHz, 14"", Full HD, 8GB, 512GB SSD M.2, Intel UHD Graphics 620, Free DOS, Slate Grey",2.99999 Lei,"3.49999 Lei(-14%)
                ",1 review,width: 100%,în stoc
"Laptop Lenovo IdeaPad 330-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, 4GB, 1TB, NVIDIA GeForce GTX 1050 4GB, Free DOS, Onyx Black",2.59999 Lei,"3.39999 Lei(-23%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Acer Aspire 3 A315-41-R93M cu procesor AMD Ryzen™ 5 3500U pana la 3.70 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Radeon™ Vega 8 Graphics, Endless OS, Black",1.99999 Lei,"2.34999 Lei(-14%)
                ",1 review,width: 100%,ultimul produs in stoc
